,starters,subGroup
0,If everyone thinks you,depression_4
1,"Seriously , the social",depression_4
2,"Otherwise , you can",depression_4
3,There are many inspirational,depression_4
4,  Maybe read some,depression_4
5,"Also , since our",depression_4
6,Bad feelings are part,depression_4
7,  They are the,depression_4
8,Bad feelings do feel,depression_4
9,   Your feeling of,depression_4
10,"Hello , and thank",depression_4
11,Feelings of worthlessness is,depression_4
12,"In fact , most",depression_4
13,You are not alone,depression_4
14,  Changing our feelings,depression_4
15,Our minds are so,depression_4
16,"Without your permission ,",depression_4
17,The new thought may,depression_4
18,My guess is that,depression_4
19,People often try thinking,depression_4
20,  Some people try,depression_4
21,The idea is that,depression_4
22,You learn skills that,depression_4
23,"For some people ,",depression_4
24,Acceptance and Commitment Therapy,depression_4
25,  There is information,depression_4
26,Because they are skills,depression_4
27,As for suicidal thoughts,depression_4
28,"Still , you should",depression_4
29,If you begin to,depression_4
30,The National Suicide Prevention,depression_4
31,The text line is,depression_4
32,  I hope some,depression_4
33,  Be well ...,depression_4
34,First thing I 'd,depression_4
35,I 'd look at,depression_4
36,I believe everyone has,depression_4
37,I think you can,depression_4
38,Therapy is essential for,depression_4
39,When I work with,depression_4
40,I generally work with,depression_4
41,CBT helps with gaining,depression_4
42,  This process is,depression_4
43,CBT is good for,depression_4
44,I first want to,depression_4
45,You can always change,depression_4
46,You can always make,depression_4
47,"Heck , sure thing",depression_4
48,"After that , emotional",depression_4
49,You are exhibiting some,depression_4
50,Seek out a counselor,depression_4
51,That is intense .,depression_4
52,Depression is a liar,depression_4
53,Sometimes depression places these,depression_4
54,  Depression tells us,depression_4
55,And it is so,depression_4
56,Please know that even,depression_4
57,The first step to,depression_4
58,Recognizing when depression is,depression_4
59,  While I can,depression_4
60,Seeing a counselor can,depression_4
61,This can do wonders,depression_4
62,Wishing you the absolute,depression_4
63,It sounds like you,depression_4
64,You wrote that you,depression_4
65,I wonder how you,depression_4
66,Are you spending time,depression_4
67,I also wonder where,depression_4
68,Or do you feel,depression_4
69,It may be helpful,depression_4
70,It must be really,depression_4
71,  It takes a,depression_4
72,It sounds like you,depression_4
73,  Many of the,depression_4
74,   Depression is a,depression_4
75,"  Typically , if",depression_4
76,   Someone who is,depression_4
77,"  Initially , a",depression_4
78,"  Then , in",depression_4
79,  The good news,depression_4
80,You don;t have to,depression_4
81,  Allow me to,depression_4
82,People who feel worthless,depression_4
83,This is the lie,depression_4
84,The work of therapy,depression_4
85,This gives them self,depression_4
86,I 'm sorry to,depression_4
87,   I 'm glad,depression_4
88,   I would recommend,depression_4
89,   Although many types,depression_4
90,   A CBT therapist,depression_4
91,   You might also,depression_4
92,   Best wishes !,depression_4
93,It sounds like you,depression_4
94,Depression can make you,depression_4
95,I would suggest that,depression_4
96,"In the meantime ,",depression_4
97,Self - care interventions,depression_4
98,Focusing on one day,depression_4
99,There is hope !,depression_4
100,I 'm glad you,depression_4
101,Visiting your doctor is,depression_4
102,"First , you want",depression_4
103,  Changing your feelings,depression_4
104,Make sure that you,depression_4
105,This can be a,depression_4
106,If you find that,depression_4
107,  One activity that,depression_4
108,You can do this,depression_4
109,There is no right,depression_4
110,"You have 
 several",depression_4
111,The sleep should be,depression_4
112,Sleep is the big,depression_4
113,What happens during a,depression_4
114,Medication can help with,depression_4
115,  I also use,depression_4
116,You can read about,depression_4
117,"In CBT 
 thoughts",depression_4
118,"First list 
 the",depression_4
119,Has anyone in the,depression_4
120,This might be hard,depression_4
121,  “ Everyone ”,depression_4
122,"The 
 specifics on",depression_4
123,"How are you 
",depression_4
124,There may be specific,depression_4
125,Or specific people might,depression_4
126,"  
 What are 
",depression_4
127,What are the Benefits,depression_4
128,"There 
 are very",depression_4
129,It ’s just going,depression_4
130,So can we reframe,depression_4
131,Is there another way,depression_4
132,"Again , 
 we",depression_4
133,"Hello , you sound",depression_4
134,I am relieved to,depression_4
135,Please get around to,depression_4
136,  Having someone to,depression_4
137,You deserve the help,depression_4
138,You have not been,depression_4
139,It 's time to,depression_4
140,  You can do,depression_4
141,Best to you !,depression_4
142,It sounds like you,depression_4
143,Depression can cause insomnia,depression_4
144,It is important to,depression_4
145,This is the depression,depression_4
146,   I think that,depression_4
147,What are your strengths,depression_4
148,What are some positive,depression_4
149,It concerns me that,depression_4
150,It sounds like now,depression_4
151,If you feel like,depression_4
152,The most important thing,depression_4
153,If you are feeling,depression_4
154,I do n't know,depression_4
155,The back of your,depression_4
156,There are also low,depression_4
157,Your local county mental,depression_4
158,Remember to identify your,depression_4
159,"You can , for",depression_4
160,Recognizing you are in,depression_4
161,Taking the time to,depression_4
162,Know this is a,depression_4
163,   I do recommend,depression_4
164,YOU DESERVE IT .,depression_4
165,There are some excellent,depression_4
166,Anything that shows yourself,depression_4
167,Have patience and start,depression_4
168,the answer is out,depression_4
169,Asking these questions already,depression_4
170,Oftentimes we can change,depression_4
171,  It sounds like,depression_4
172,Sometimes when we are,depression_4
173,  Like a highly,depression_4
174,  Slowing down and,depression_4
175,  When we can,depression_4
176,  Beginning therapy could,depression_4
177,  Beginning to build,depression_4
178,  This first step,depression_4
179,Feelings of worthlessness often,depression_4
180,Improving your self esteem,depression_4
181,  Most of us,depression_4
182,The feeling of being,depression_4
183,Your comparison to others,depression_4
184,You are not worthless,depression_4
185,No one is worthless,depression_4
186,You need to find,depression_4
187,I hope these words,depression_4
188,"Hi there , I",depression_4
189,Let me see if,depression_4
190,Often when I talk,depression_4
191,We start with noticing,depression_4
192,Start to notice when,depression_4
193,Is there a particular,depression_4
194,"Just 
 start to",depression_4
195,Usually it 's tied,depression_4
196,Try to be patient,depression_4
197,Next we start to,depression_4
198,When did these feelings,depression_4
199,Where do you think,depression_4
200,Is there something -,depression_4
201,"If so , whose",depression_4
202,These are difficult questions,depression_4
203,( We usually do,depression_4
204,It might even be,depression_4
205,If you have a,depression_4
206,Now comes the good,depression_4
207,Our brains are able,depression_4
208,This allows us to,depression_4
209,The next step is,depression_4
210,Someone who is or,depression_4
211,If you do n't,depression_4
212,Close your eyes and,depression_4
213,"Now , pick a",depression_4
214,Something that will help,depression_4
215,This also takes time,depression_4
216,Once you have all,depression_4
217,When the feelings come,depression_4
218,I hope this was,depression_4
219,"Again , I do",depression_4
220,It is quite an,depression_4
221,If at any point,depression_4
222,If you take anything,depression_4
223,I am sorry you,depression_4
224,  We all have,depression_4
225,In your case it,depression_4
226,  There are different,depression_4
227,  This process requires,depression_4
228,Let me start by,depression_4
229,"In fact , most",depression_4
230,"In counselling , we",depression_4
231,"Basically , it ’s",depression_4
232,"Of course , these",depression_4
233,I would encourage you,depression_4
234,Then to help you,depression_4
235,Psychotherapy can be such,depression_4
236,I know you can,depression_4
237,  I like to,depression_4
238,  You can do,depression_4
239,It is never too,depression_4
240,  The right time,depression_4
241,  Sometimes when we,depression_4
242,  Working with a,depression_4
243,  People can and,depression_4
244,  It is never,depression_4
245,You have been through,depression_4
246,Regardless of the struggles,depression_4
247,Many times when someone,depression_4
248,If you decide to,depression_4
249,Be sure to express,depression_4
250,  Often times when,depression_4
251,   Counseling can give,depression_4
252,Given the situation you,depression_4
253,   I strongly recommending,depression_4
254,In therapy you will,depression_4
255,   I see you,depression_4
256,   Best wishes to,depression_4
257,"  In fact ,",depression_4
258,  You would benifit,depression_4
259,  A good therapist,depression_4
260,With help you could,depression_4
261,This is a great,depression_4
262,I personally do n't,depression_4
263,"In fact , that",depression_4
264,"In fact , all",depression_4
265,  If you seek,depression_4
266,All of these issues,depression_4
267,Counseling will take commitment,depression_4
268,Many clients come into,depression_4
269,Most of the time,depression_4
270,"We call these """,depression_4
271,A lot of the,depression_4
272,I encourage you to,depression_4
273,You deserve the help,depression_4
274,Many people begin their,depression_4
275,  I hope you,depression_4
276,Best of luck on,depression_4
277,It sounds like you,depression_4
278,"Everybody has issues ,",depression_4
279,I would encourage you,depression_4
280,Most clients have many,depression_4
281,It is normal to,depression_4
282,The right type of,depression_4
283,"  Sometimes , working",depression_4
284,This can help you,depression_4
285,Look for someone with,depression_4
286,Then you would look,depression_4
287,You start with the,depression_4
288,Healing one issue can,depression_4
289,There is no such,depression_4
290,Many issues are often,depression_4
291,"Hi , people who",depression_4
292,There is no such,depression_4
293,Therapy is great because,depression_4
294,"Yeah , you might",depression_4
295,"   And , so",depression_4
296,The real issue is,depression_4
297,It could be said,depression_4
298,No one is beyond,depression_4
299,You may want to,depression_4
300,  Good luck on,depression_4
301,"No , there are",depression_4
302,   Therapy would begin,depression_4
303,   As one area,depression_4
304,"Firstly , I would",depression_4
305,You are stronger than,depression_4
306,Take a moment to,depression_4
307,There are never too,depression_4
308,I hope you can,depression_4
309,Once you begin to,depression_4
310,Before you even realize,depression_4
311,It is never too,depression_4
312,The most important thing,depression_4
313,  Therapy helps you,depression_4
314,This can all be,depression_4
315,Your therapist can help,depression_4
316,"No , it is",depression_4
317,Seeking counseling can assist,depression_4
318,The most direct answer,depression_4
319,I would venture to,depression_4
320,I would recommend a,depression_4
321,You have several strengths,depression_4
322,Sometimes people are afraid,depression_4
323,Compare it to a,depression_4
324,The storm has passed,depression_4
325,A good therapist is,depression_4
326,It 's not really,depression_4
327,You control the direction,depression_4
328,If you want to,depression_4
329,You work at your,depression_4
330,But you may just,depression_4
331,It seems as though,depression_4
332,That may be the,depression_4
333,If you want to,depression_4
334,Find the counselor that,depression_4
335,A person never has,depression_4
336,Participating in counseling with,depression_4
337,  A trained therapist,depression_4
338,They can also help,depression_4
339,   If you want,depression_4
340,There is no such,depression_4
341,Many of the issues,depression_4
342,"For example , in",depression_4
343,There may be some,depression_4
344,"Our body , mind",depression_4
345,They are interconnected .,depression_4
346,Addressing these issue are,depression_4
347,Of course not .,depression_4
348,Counseling is a process,depression_4
349,When anxiety and daily,depression_4
350,You definitely do n't,depression_4
351,"In fact , counseling",depression_4
352,"For example , insomnia",depression_4
353,Once you begin to,depression_4
354,You absolutely do not,depression_4
355,The fact that you,depression_4
356,I know from my,depression_4
357,I believe that you,depression_4
358,Please do not feel,depression_4
359,You know the directions,depression_4
360,  I suggest sitting,depression_4
361,Perhaps the therapist can,depression_4
362,Thank you for sharing,depression_4
363,   I imagine it,depression_4
364,   I would encourage,depression_4
365,"   For example ,",depression_4
366,"   "" I will",depression_4
367,"   "" I will",depression_4
368,"   "" I will",depression_4
369,"   "" I will",depression_4
370,"""This is an example",depression_4
371,   Working toward a,depression_4
372,   I hope this,depression_4
373,There are never too,depression_4
374,In a way we,depression_4
375,Then we become over,depression_4
376,"""    A skillful",depression_4
377,when this helps the,depression_4
378,Then the other issues,depression_4
379,confidence I can take,depression_4
380,My best to you,depression_4
381,"There are never """,depression_4
382,   Most people come,depression_4
383,   The wonderful thing,depression_4
384,   ( For example,depression_4
385,"Your therapist , with",depression_4
386,You can be helped,depression_4
387,Many of the people,depression_4
388,These issues are often,depression_4
389,The short answer is,depression_4
390,The longer answer is,depression_4
391,It 's important to,depression_4
392,But that not having,depression_4
393,It might also be,depression_4
394,It is n't easy,depression_4
395,Usually people who struggle,depression_4
396,These symptoms come about,depression_4
397,The obstacles you have,depression_4
398,Counseling is meant to,depression_4
399,We see the difficulties,depression_4
400,Often times when an,depression_4
401,When we think about,depression_4
402,Counseling can provide guidance,depression_4
403,It is very common,depression_4
404,   I have had,depression_4
405,I do n't know,depression_4
406,"But , most people",depression_4
407,   Let 's face,depression_4
408,Therapists are completely ready,depression_4
409,Most therapists over the,depression_4
410,   You can never,depression_4
411,   All of the,depression_4
412,When we have the,depression_4
413,I would suggest that,depression_4
414,"However , it is",depression_4
415,Choosing one issue to,depression_4
416,"Hello there , No",depression_4
417,Once you start counseling,depression_4
418,Once you and your,depression_4
419,It sounds like you,depression_4
420,But you are also,depression_4
421,You do not have,depression_4
422,A good therapist will,depression_4
423,You may have heard,depression_4
424,Whether a person comes,depression_4
425,Please do n't feel,depression_4
426,You are important and,depression_4
427,On the plus side,depression_4
428,Seek the help that,depression_4
429,You do not have,depression_4
430,   And your perseverance,depression_4
431,   The trauma and,depression_4
432,   The emotional reaction,depression_4
433,   Therapy can help,depression_4
434,   I find in,depression_4
435,   It sounds as,depression_4
436,   Therapy helps and,depression_4
437,Thank you for sharing,depression_4
438,You do not have,depression_4
439,It will help to,depression_4
440,Your therapist will create,depression_4
441,Therapy is a process,depression_4
442,Not at all !,depression_4
443,Whatever issues you might,depression_4
444,Remember therapy is about,depression_4
445,You bring whatever you,depression_4
446,Keep in mind these,depression_4
447,Remember you are a,depression_4
448,Just like any system,depression_4
449,Talk to your therapist,depression_4
450,"Growing , flourishing ,",depression_4
451,You absolutely do not,depression_4
452,Your reaching out to,depression_4
453,"Also , your happy",depression_4
454,I would recommend that,depression_4
455,I do n't think,depression_4
456,   If a client,depression_4
457,   I would work,depression_4
458,   I usually suggest,depression_4
459,   Reading through your,depression_4
460,   I like to,depression_4
461,   Once you felt,depression_4
462,   My gut is,depression_4
463,   For example as,depression_4
464,   I encourage you,depression_4
465,   These are just,depression_4
466,The way it goes,depression_4
467,Once you work on,depression_4
468,Slowly each issue is,depression_4
469,"So no , you",depression_4
470,Do n’t give up,depression_4
471,Get help now and,depression_4
472,I think this is,depression_4
473,  There is a,depression_4
474,This is normal .,depression_4
475,In answer to your,depression_4
476,  An important thing,depression_4
477,  Getting help is,depression_4
478,  You have shared,depression_4
479,  Part of the,depression_4
480,In collaboration with you,depression_4
481,  Not getting counseling,depression_4
482,  You are already,depression_4
483,"In therapy , you",depression_4
484,"In conclusion , I",depression_4
485,  These are three,depression_4
486,   I believe you,depression_4
487,  Best of luck,depression_4
488,"Hello , I 'm",depression_4
489,Deciding to go to,depression_4
490,To answer your question,depression_4
491,  You 've been,depression_4
492,  What I would,depression_4
493,But you absolutely do,depression_4
494,Please feel free to,depression_4
495,and I hope you,depression_4
496,Many of the issues,depression_4
497,  Best Wishes .,depression_4
498,"  Laura Cassity ,",depression_4
499,Not at all my,depression_4
500,  Human beings are,depression_4
501,Everything you bring up,depression_4
502,The truly beautiful thing,depression_4
503,A skilled therapist will,depression_4
504,  I wish you,depression_4
505,Everyone has topics to,depression_4
506,   There is no,depression_4
507,   Not everyone has,depression_4
508,Since you are one,depression_4
509,Possibly the result of,depression_4
510,"  Lucky you ,",depression_4
511,   You will feel,depression_4
532,Have you used meditation,depression_4
533,Relaxing the mind and,depression_4
534,Hypnosis and meditation have,depression_4
535,Google hypnotherapists near me,depression_4
536,Working with a great,depression_4
537,   Sometimes just the,depression_4
538,   A therapist can,depression_4
539,Anxiety and depression is,depression_4
540,A basic protocol of,depression_4
541,Meditation may be able,depression_4
542,  Meditation … Breaks,depression_4
543,Meditation can reduce rumination,depression_4
544,"For example , instead",depression_4
545,Thank goodness to  ,depression_4
546,  Balances Brain ChemicalsAnxiety,depression_4
547,A meditation practice can,depression_4
548,  View full article,depression_4
549,Anxiety and depression are,depression_4
550,I do n't consider,depression_4
551,Depression is a symptom,depression_4
552,Anxiety is a symptom,depression_4
553,It is also the,depression_4
554,Depression and anxiety can,depression_4
555,I am sorry that,depression_4
556,Depression and anxiety can,depression_4
557,I like for my,depression_4
558,so I would also,depression_4
559,How are you interpreting,depression_4
560,Try to interpret them,depression_4
561,Unfortunately we can not,depression_4
562,If you ca n't,depression_4
563,Choose to take actions,depression_4
564,"Remember , your thoughts",depression_4
565,  Emotional : do,depression_4
566,    Social : connect,depression_4
567,Take up some hobbies,depression_4
568,  If things do,depression_4
569,I would encourage you,depression_4
570,  If you ever,depression_4
571,Life can bring us,depression_4
572,    Depression and Anxiety,depression_4
573,   Both can be,depression_4
574,   Sometimes when life,depression_4
575,   Learning tools to,depression_4
576,   If you are,depression_4
577,Wanting to make changes,depression_4
578,Overcoming anxiety and depression,depression_4
579,   There are some,depression_4
580,You can do this,depression_4
581,   CounselChat also has,depression_4
582,Be 100 % honest,depression_4
583,You more than likely,depression_4
584,Medication can help level,depression_4
585,  Arsenicum album is,depression_4
586,The choice is yours,depression_4
587,My recommendation is to,depression_4
588,"First , be patient",depression_4
589,Changing these deep major,depression_4
590,"Most commonly , anxiety",depression_4
591,Reflect on your own,depression_4
592,   Then figure out,depression_4
593,Try new ways of,depression_4
594,  The changed impression,depression_4
595,In America people take,depression_4
596,If you prefer to,depression_4
597,Eventually you will be,depression_4
598,Your question is a,depression_4
599,Even if nothing currently,depression_4
600,"And , our emotions",depression_4
601,Just because a particular,depression_4
602,Good for you to,depression_4
603,One thing that comes,depression_4
604,It could be that,depression_4
605,Another idea to try,depression_4
606,"This way , when",depression_4
607,Are you eating and,depression_4
608,These two ideas are,depression_4
609,From where do you,depression_4
610,Friends or family?Can you,depression_4
611,"For example , rather",depression_4
612,Also consider giving yourself,depression_4
613,"For example , when",depression_4
614,It 's important to,depression_4
615,  Please contact us,depression_4
616,Chronic pain at the,depression_3
617,The ' depression ',depression_3
618,Maybe if you started,depression_3
619,To know your limitations,depression_3
620,Greater awareness and sense,depression_3
621,If it is simply,depression_4
622,Look up online what,depression_4
623,"  Also , google",depression_4
624,Did your primary physician,depression_4
625,"If not , then",depression_4
626,  Even if the,depression_4
627,I would check out,depression_4
628,If you google affordable,depression_4
629,First step always is,depression_4
630,If you are medically,depression_4
631,Often a problem transfers,depression_4
632,If you are a,depression_4
633,  If she is,depression_4
634,There may not be,depression_4
635,Medicine looks for symptoms,depression_4
636,Our emotional lives are,depression_4
637,If you feel stress,depression_4
638,"Basically , do a",depression_4
639,You may clear the,depression_4
640,When I 'm working,depression_4
641,In cases where there,depression_4
642,My counseling approach for,depression_4
643,"For starters , know",depression_4
644,While this can certainly,depression_4
645,I am going to,depression_4
646,Assuming that is the,depression_4
647,It is either a,depression_4
648,This can be caused,depression_4
649,Another primary reason for,depression_4
650,Have their been recent,depression_4
651,Are you feeling as,depression_4
652,These are just a,depression_4
653,My suggestion to you,depression_4
654,   Best of Luck,depression_4
655,Erection maintenance is caused,depression_4
656,   A proper detoxification,depression_4
657,Lower circulation and pituitary,depression_4
658,Medical will likely not,depression_4
659,If you have n't,depression_4
660,   ED can be,depression_4
661,   Once you have,depression_4
662,"   Unfortunately , you",depression_4
663,"Again , rule out",depression_4
